name,group,diamond,live_time_sec,battle_ratio,growth_ratio
ミオ,A：40000ダイヤ,601737,166853,0.5602214921,0.4639130669
あおい❄️🥂,B：10000ダイヤ,493935,414627,0.7399192201,0.9083511257
🍓まろん@美容整体師🌸,B：10000ダイヤ,484563,197066,0.9054096165,1.029688137
ryu🥊🐉,B：10000ダイヤ,376238,159226,0.8465359693,2.281156591
maron,B：10000ダイヤ,250998,234542,0.9761870613,1.099157014
れなれな🐟🐟,B：10000ダイヤ,117980,245847,0.8261569758,1.253639358
🐉りーぬちゃん🐹🌻,B：10000ダイヤ,116051,101412,0.6033726551,0.6135622254
えり🦋,B：10000ダイヤ,101622,65902,0.2544330952,6.833109198
ちゃんり🍭💄,B：10000ダイヤ,38984,143460,0.01977734455,0.2115269835
🌙夜更けの無駄部屋🍒,B：10000ダイヤ,14671,81896,0.01220094063,0.04815026322
ノアの方舟🐈‍⬛⚓️,C：3000ダイヤ,137471,229441,0.7148998698,2.187321994
紫乃🐈‍⬛💜,C：3000ダイヤ,90380,110374,0.3885483514,4.928294891
全肯定みっちゃん.ᐟ.ᐟ,C：3000ダイヤ,63269,435884,0.3387440927,0.5182203147
ぐでち。🍳,C：3000ダイヤ,47465,261614,0.6282734647,0.3301867104
ゆあ,C：3000ダイヤ,23249,129779,0.3127876468,0.6884512881
さく🌸,C：3000ダイヤ,14444,75076,0.0,0.2636295607
めいめい,C：3000ダイヤ,6851,16262,0.4752590863,0.5903998621
だいたい明るいさき,C：3000ダイヤ,1320,18224,0.0,4.342105263
アイカちゃん🐶💜,C：3000ダイヤ,0,0,,0.0
🐹ぷい🐹,C：3000ダイヤ,0,0,,0.0
雲雀丘モガ,D：1000ダイヤ,44294,199329,0.5806204001,77.98239437
ぼんじり,D：1000ダイヤ,22619,121024,0.2772005836,35.17729393
ばんちょ,D：1000ダイヤ,22453,108271,0.0,14.37451985
しらすとごはん！ASMR,D：1000ダイヤ,7884,47537,0.01927955353,716.7272727
よーぐると,D：1000ダイヤ,5919,33145,0.07383003886,0.6463907393
菜穂,D：1000ダイヤ,3833,117507,0.01434907383,0.2115809229
⚔️アスナ⚔️,D：1000ダイヤ,2308,7040,0.0,1.986230637
しおり(*´○`)o¶♪🎤🍯,D：1000ダイヤ,329,17069,0.0,
__tomocha,D：1000ダイヤ,0,0,,0.0
お砂糖ちゃん🍬🍭🪉,D：1000ダイヤ,0,0,,
✋うてちゃん✋右手愛美✋,D：1000ダイヤ,0,0,,
るぅ,D：1000ダイヤ,0,0,,0.0
♡ERICHAN♡,D：500ダイヤ,11741,183624,0.0,
結,D：500ダイヤ,3623,53244,0.0,0.4112839142
aoba.sera,D：500ダイヤ,2343,39662,0.02688860435,2.317507418
りさまるこ,D：500ダイヤ,1442,61819,0.0,3.284738041
HAL,D：500ダイヤ,972,18850,0.0,
ちったん🐰,D：500ダイヤ,709,23469,0.0,12.01694915
キリカ🪽🫧,D：500ダイヤ,438,5650,0.0,3.842105263
AIKS(アイクス）,D：500ダイヤ,22,4030,0.0,0.009756097561
びあちゃん🍺💖,D：500ダイヤ,0,0,,
haienagogor,,1159,157385,0.0,0.7045592705
mami,,1100,34980,0.0,10.28037383
ぴな🌱🕊️,,724,14367,0.0,
猫好きもっちゃん🐈🩷,,616,21239,0.03084415584,
yue,,611,41770,0.0,1.205128205
喜音〜Kion〜,,397,45804,0.0,0.8783185841
福 紀心／gem's company,,353,71719,0.0,
minato23saku,,326,23959,0.0,1.63
larry.wanwan0304,,259,56285,0.0,6.023255814
みこ,,251,10816,0.0,0.8838028169
すいねだっちっち〜,,242,23720,0.0,
んぎ。,,215,5876,0.0,3.981481481
一級建築士　勉強垢　朧,,207,199055,0.0,0.2294900222
柚李,,159,13624,0.0,
まり🍶🌶️,,151,75138,0.0,0.9320987654
