name,point,livetime
雲雀丘モガ@登竜門黒龍56位thx！,2371245,62h1m
まゆ🍀癒し部屋🍀,2235935,50h38m
ぼんじり🐥❤,2006275,36h53m
TsukiLuna🌙🐾,1535520,50h45m
ちゃんり🍭💄,1084000,61h36m
伝説のツチノトちゃん🧡💫,793885,69h50m
もえな🍷｜会社員ママ👶🏻,792510,20h29m
nunu🍫🩵,762330,56h37m
りま🌷🫧,595950,20h53m
ゆあ🐶🍫,498890,34h16m
今日もうるさい美女。,417830,51h24m
中咲こと🥒⸜💚⸝,316760,10h1m
にんぴ🥕Tiktok教えてちょ🥹,310495,10h27m
全肯定みっちゃん.ᐟ.ᐟ,269750,85h32m
しいな🫧🌝,241335,26h55m
綾羽アキ🕊️🖌️,187120,18h16m
ゆめゆめ🩵✨️,169830,26h7m
アイカちゃん🐶💜,169730,7h53m
🌙夜更けの無駄部屋🍒,133330,8h44m
しおり(*´○`)o¶♪🎤🍯,74470,8h47m
えり🦋,59320,3h10m
しらすとごはん！ASMR,19590,2h26m
みそ〻おさんぽ配信,17160,5h33m
ばんちょ🐹☀️,10070,2h39m
ゆめかわゆめ,3820,9h48m
