name,point,livetime,days,fans,bonus,fanpct,fanbonus
lala🌴,319538,30h19m,11,19,0,1,3163
おどぎ,299364,8h24m,3,120,0,12,32074
観月みれい💘🃏,189892,7h13m,2,55,0,5,9042
綾羽アキ🕊️🖌️,127734,22h43m,12,20,0,2,2504
有栖川アリス,114938,17h3m,7,15,0,1,1138
いぶ,73648,9h30m,4,73,0,7,4818
しらすとごはん！ASMR,67380,4h21m,2,171,0,17,9790
みたらし🍡@絡みOL,62721,14h2m,10,14,0,1,621
まてぃ,52416,63h36m,12,40,0,4,2016
ゆ  い,51510,13h52m,8,29,0,2,1010
みー,49025,13h42m,9,42,0,4,1885
はる🍀,48890,17h13m,11,41,0,4,1880
絢斗 -ｹﾝﾄ-,47472,13h28m,5,33,0,3,1382
土の下絃。(ﾂﾁﾉｼﾀｲﾄ),37883,20h52m,10,38,0,3,1103
みさと👸,36951,15h18m,4,69,0,6,2091
いち,19040,2h25m,2,2,0,0,0
さく🌸🍒,17788,9h2m,6,36,0,3,518
あーるちゃん,10776,14h24m,7,18,0,1,106
えり🦋,10576,1h46m,1,43,0,4,406
みこと🐰🌸,10189,10h58m,6,25,0,2,199
中野エルク,6565,6h25m,3,18,0,1,65
ちあきバグる,6140,6h3m,6,29,0,2,120
きき,4875,5h48m,3,23,0,2,95
♡ERICHAN♡,4794,2h17m,1,23,0,2,94
fu→ko,4504,7h47m,2,18,0,1,44
なぐ,3810,14h35m,10,2,0,0,0
ちったん🐰💞,2504,0h48m,0,10,0,1,24
haienagogor,2410,12h26m,8,9,0,0,0
Aa-Yan.,2060,6h48m,2,6,0,0,0
🐉たくみ🐲,2010,1h16m,1,1,0,0,0
唯,1123,3h20m,2,86,0,8,83
まり🍶🌶️,1070,3h5m,1,9,0,0,0
保健室のmami先生,1040,0h39m,0,15,0,1,10
9/13🎂 りおん🧸,1030,2h28m,1,11,0,1,10
グリーン,1020,5h50m,2,2,0,0,0
