name,point,livetime,days,fans,bonus,fanpct,fanbonus
登竜門参戦🐉アイカちゃん💜🍺,2028363,39h51m,12,56,0,5,96588
登竜門参戦　🦄🥂クマ🐻🎰,1828288,74h21m,12,63,0,6,103488
もえ｜登竜門🐉会社員ママ👶🏻🍷,1741440,25h6m,10,579,0,20,290240
まる🎙️🍑登竜門🐉,1321482,20h3m,7,407,0,20,220247
nunu🍫🩵,1149241,53h30m,12,104,0,10,104476
🍮極上ぷるみぃ594円新発売🫧登竜門🐉❤️‍🔥,1064028,46h26m,12,68,0,6,60228
ひろにゃん🍠🍎登竜門参戦‼︎🍇🍠,810214,42h5m,10,77,0,7,53004
りーぬちゃん🐹🌻,733892,16h11m,8,55,0,5,34947
ゆあ🐶🍫,647387,41h30m,12,72,0,7,42352
さーたん🎀👑登竜門参戦🐉,549742,51h28m,12,64,0,6,31117
🐉参戦・伝説のツチノトちゃん🧡💫登竜門がんばる😡🔮,536519,58h8m,11,63,0,6,30369
花香リリー,515235,13h28m,8,54,0,5,24535
登竜門 りま🌷🫧,476324,19h35m,10,93,0,9,39329
ましゅまろ　うめ　🐉9/11~17登竜門参戦🐉,445273,24h49m,11,57,0,5,21203
ノアの方舟🐈‍⬛⚓️,418467,11h50m,7,50,0,5,19927
はなぼう🌸✉️,362461,10h6m,2,65,0,6,20516
しいな🫧🌝,287988,19h42m,8,58,0,5,13713
全肯定みっちゃん.ᐟ.ᐟ,233157,46h5m,9,47,0,4,8967
🌙夜更けの無駄部屋🍒,205016,5h52m,2,84,0,8,15186
ちゃんり🍭💄,174986,38h8m,10,21,0,2,3431
今日もうるさい美女。,173,0h21m,0,20,0,2,3
